,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,issue_title,214,pycqa,astroid,pylint-bot,2015-10-15 03:05:58,"Originally reported by: **BitBucket: [ceridwenv](http://bitbucket.org/ceridwenv), GitHub: @ceridwen**

---

At the moment, Instance is used for instances of classes and instances of other built-in types (lists, dicts) are subclasses of it.  This leads to cases where code has to type-test using type identity rather than isinstance, for instance, and makes it impossible to customize the behavior of class instances.  Instance should probably be a superclass, containing code common to all instances, and ClassInstance should be a subclass.  This will probably also make it easier to subclass Instance to build code for other types coded in C.

---
- Bitbucket: https://bitbucket.org/logilab/astroid/issue/214
",start issue,"Instance should be a superclass, ClassInstance should be a subclass"
1,issue_closed,214,pycqa,astroid,pylint-bot,2015-12-09 05:55:17,,closed issue,"Instance should be a superclass, ClassInstance should be a subclass"
2,issue_comment,214,pycqa,astroid,pylint-bot,2015-10-20 13:37:43,"_Original comment by_ **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**:

---

Yes, this sounds good to me.
",,
3,issue_comment,214,pycqa,astroid,pylint-bot,2015-11-03 16:08:52,"_Original comment by_ **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**:

---

I'm currently doing this change in bookmark 2.0.
",,
4,issue_comment,214,pycqa,astroid,pylint-bot,2015-11-07 12:43:05,"_Original comment by_ **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**:

---

Separate class instances and builtin instances into two concepts

One problem with handling both concepts with a single class leads
to type-testing using type identity rather than using isinstance, since
builtin instances uses the same base class as class instances (even though
this is fairly fuzzy). With two classes instead, we can easily distinguish
between these cases.

The commit includes two new virtual base classes, Instance and BuiltinInstance
and separates the Instance class into BaseInstance and Instance, also
changing in some places the use of type-identity testing with isinstance testing.
Closes issue #214.
",,
5,issue_comment,214,pycqa,astroid,pylint-bot,2015-11-07 12:44:54,"_Original comment by_ **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**:

---

This should be fixed, but the solution is somewhat temporary. I don't like that BaseInstance has the entire lookup mechanism, but that will be changed when the lookup will be improved in #93.
",,
0,issue_title,26,pycqa,astroid,pylint-bot,2014-04-23 16:06:49,"Originally reported by: **David Shea (BitBucket: [davidshea](http://bitbucket.org/davidshea), GitHub: @davidshea?)**

---

I don't really know how, but the TransactionSet class in rpm's python library has itself in the bases list, or something that looks like it:

> > > import rpm
> > > print(rpm.TransactionSet.**bases**)
> > > (<type 'rpm.ts'>,)
> > > print(rpm.ts)
> > > <class 'rpm.transaction.TransactionSet'>

This causes _is_metaclass to get stuck recursing on the same class. Encountered when running pylint on code such as the following:

import rpm
ts = rpm.TransactionSet(""/"")
print ts.dbMatch(""basenames"", ""/"")

I don't know whether astroid's assessment of the class and its bases is correct, but on the assumption that it is I've attached a patch to avoid the infinite recursion.

---
- Bitbucket: https://bitbucket.org/logilab/astroid/issue/26
",start issue,astroid gets stuck on classes which have themselves as a base
1,issue_closed,26,pycqa,astroid,pylint-bot,2015-12-09 05:51:59,,closed issue,astroid gets stuck on classes which have themselves as a base
2,issue_comment,26,pycqa,astroid,pylint-bot,2014-04-23 14:25:39,"_Original comment by_ **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**:

---

Thanks for the report. The fix was already applied in 7a9a377. Could you check that it fixes your issue? Another user reported this problem and his situation was similar to the one reported by you, but he was doing some ugly monkey patching which confused astroid.
",,
3,issue_comment,26,pycqa,astroid,pylint-bot,2014-04-23 14:35:08,"_Original comment by_ **David Shea (BitBucket: [davidshea](http://bitbucket.org/davidshea), GitHub: @davidshea?)**:

---

Oh cool, thanks. I ended up making the same fix, so yeah, it solves the problem :-)
",,
