,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
37,commit_messages,,idan,oauthlib,thedrow,2017-03-31 09:03:07,"Merge pull request #462 from skion/oidc-errors

Add remaining OIDC errors",0573457a1f32417f9b280b5102a123ee49739bbf,,"api.github.com,git_clone","[u'[""oauthlib/oauth2/rfc6749/errors.py""]']",False,[],"[{u'raw': u'#462', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'462', u'']}]",[],[],2017-03-31
432,commit_messages,,idan,oauthlib,thedrow,2017-03-31 09:09:27,"Merge pull request #456 from empiricalthought/master

Add log statements to except clauses",6115f2259831a3d16e0d8e9a630a1c109f366c09,,"api.github.com,git_clone","[u'[""oauthlib/oauth1/rfc5849/endpoints/signature_only.py""]']",False,[],"[{u'raw': u'#456', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'456', u'']}]",[],[],2017-03-31
497,commit_messages,,idan,oauthlib,thedrow,2017-03-31 09:11:17,"Merge pull request #453 from kippandrew/fix-revocation-public-clients

Public clients should be validated when revoking tokens",70262c730450b28e07d3543c1a6d48c13cd7ea1e,,"api.github.com,git_clone","[u'[""tests/oauth2/rfc6749/endpoints/test_revocation_endpoint.py"", ""oauthlib/oauth2/rfc6749/endpoints/revocation.py""]']",False,[],"[{u'raw': u'#453', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'453', u'']}]",[],[],2017-03-31
500,commit_messages,,idan,oauthlib,thedrow,2017-03-31 09:08:11,"Merge pull request #459 from jdufresne/uni-wheel

Add universal wheel support",70dd283be31ae02284bcf16fcd29385bbf917bee,,"api.github.com,git_clone","[u'[""setup.cfg""]']",False,[],"[{u'raw': u'#459', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'459', u'']}]",[],[],2017-03-31
879,commit_messages,,idan,oauthlib,thedrow,2017-03-31 08:59:53,"Merge pull request #467 from ajpaul510/master

Fixed client.rst",cd19a1af2a9639fef65d706c99b877b723ffbdb3,,"api.github.com,git_clone","[u'[""docs/oauth1/client.rst""]']",False,[],"[{u'raw': u'#467', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'467', u'']}]",[],[],2017-03-31
1005,commit_messages,,idan,oauthlib,thedrow,2017-03-31 09:05:13,"Merge pull request #464 from cknave/case-insensitive-dict-update

Update proxy keys on CaseInsensitiveDict.update()",e6c6ddb8fd25032d51a07623d549f310ded68fc8,,"api.github.com,git_clone","[u'[""tests/test_common.py"", ""oauthlib/common.py""]']",False,[],"[{u'raw': u'#464', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'464', u'']}]",[],[],2017-03-31
1015,commit_messages,,idan,oauthlib,thedrow,2017-03-31 09:06:55,"Merge pull request #463 from skion/fragment-errors

Redirect errors according to OIDC's response_mode.",e8d8e0a81ced977c3e476c1f54f0856117ef3b74,,"api.github.com,git_clone","[u'[""oauthlib/oauth2/rfc6749/grant_types/authorization_code.py"", ""oauthlib/oauth2/rfc6749/errors.py""]']",False,[],"[{u'raw': u'#463', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'463', u'']}]",[],[],2017-03-31
1741,pull_request_commit,469.0,idan,oauthlib,orenmazor,2017-03-29 16:36:41,missing deps,b1697259b494a28afc3f4c27fcd5863d9ef77cc8,,api.github.com,,False,[],[],[],[],2017-03-29
1742,pull_request_commit,469.0,idan,oauthlib,orenmazor,2017-03-29 17:12:11,add # to the pchar list,c1fd094fd013d0447fb10a3b668552d992bb1da1,,api.github.com,,False,[],[],[],[],2017-03-29
1743,pull_request_commit,469.0,idan,oauthlib,orenmazor,2017-03-29 17:47:12,"Revert ""missing deps""

This reverts commit b1697259b494a28afc3f4c27fcd5863d9ef77cc8.",09b2bdf3bc6d72034082c4bcc0ef83d1d38f8a68,,api.github.com,,False,[],[],[],[],2017-03-29
1744,pull_request_commit,469.0,idan,oauthlib,orenmazor,2017-03-29 17:49:38,split the tests up a bit,52f197eae760d87791f1fdc85d558da1f4554635,,api.github.com,,False,[],[],[],[],2017-03-29
