,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
14,commit_messages,,idan,oauthlib,calebbrown,2012-04-18 13:14:17,"Make prepare_headers return non-unicode strings.

Because there is an assumption that headers are encoding in ASCII,
and because all the parameters are passed through utils.escape anyway
we shouldn't use unicode strings when building the header.

When it was returning unicode strings the base string used to generate
the signature was being double encoded.",028ff8dced3c63365c580345a145a5e997c312d0,,"api.github.com,git_clone","[u'[""oauthlib/oauth1/rfc5849/parameters.py""]']",False,[],[],[],[],2012-04-18
151,commit_messages,,idan,oauthlib,calebbrown,2012-04-18 11:51:58,Fix a bug in oauth1.signature.collect_parameters preventing unescaping.,1f292e6923aa9419d28e3700e22102dffd447886,,"api.github.com,git_clone","[u'[""tests/oauth1/rfc5849/test_server.py"", ""oauthlib/oauth1/rfc5849/signature.py""]']",False,[],[],[],[],2012-04-18
243,commit_messages,,idan,oauthlib,calebbrown,2012-04-18 13:17:25,"Update the tests. Strengthen the unescape and escape tests and add more
server tests.",361d306d11efedaa63b281d2e87b25f54ef91b38,,"api.github.com,git_clone","[u'[""tests/oauth1/rfc5849/test_server.py"", ""tests/oauth1/rfc5849/test_utils.py""]']",False,[],[],[],[],2012-04-18
348,commit_messages,,idan,oauthlib,idan,2012-04-19 06:29:57,"Merge pull request #20 from calebbrown/master

Bug fixes for the OAuth 1.0 Client and Server",4d26eb92e9a1f568bd7667fc857b83d47a372708,,"api.github.com,git_clone","[u'[""oauthlib/oauth1/rfc5849/utils.py"", ""tests/oauth1/rfc5849/test_utils.py"", ""AUTHORS"", ""tests/oauth1/rfc5849/test_server.py"", ""oauthlib/oauth1/rfc5849/signature.py"", ""oauthlib/oauth1/rfc5849/__init__.py""]']",False,[],"[{u'raw': u'#20', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'20', u'']}]",[],[],2012-04-19
484,commit_messages,,idan,oauthlib,calebbrown,2012-04-19 03:08:02,Add self to AUTHORS,6d56d09ac887130a1cc2c1f0d3cce30fc70b629b,,"api.github.com,git_clone","[u'[""AUTHORS""]']",False,[],[],[],[],2012-04-19
501,commit_messages,,idan,oauthlib,calebbrown,2012-04-18 11:38:41,"Extract the signature method for the signature method, not the
signature.",7118970bb198b1bd34c43e0073da54df3d09d749,,"api.github.com,git_clone","[u'[""oauthlib/oauth1/rfc5849/__init__.py""]']",False,[],[],[],[],2012-04-18
700,commit_messages,,idan,oauthlib,calebbrown,2012-04-19 03:00:18,"Revert ""Make prepare_headers return non-unicode strings.""

This reverts commit 028ff8dced3c63365c580345a145a5e997c312d0.

Rather than converting to non-unicode strings the desire is to have
unicode everywhere.

So this is being removed in favour of improving the unicode support elsewhere.

In particular utils.unescape() and signature.collect_parameters()
need to have their unicode support improved.",a0f10d6455ee285d713dee34e99131cdc6ab0b95,,"api.github.com,git_clone","[u'[""oauthlib/oauth1/rfc5849/parameters.py""]']",False,[],[],[],[],2012-04-19
707,commit_messages,,idan,oauthlib,calebbrown,2012-04-19 02:56:50,"Revert ""Add support to OAuth1 for including body in the base string based on""

This reverts commit ae386c2154f65054427f33419bf17b6feda563d5.

Will be replaced in favour of passing a 'content_type' parameter.",a3ae77f63b46bed830c171d22137cb5eb4ee9c3e,,"api.github.com,git_clone","[u'[""tests/oauth1/rfc5849/test_server.py"", ""oauthlib/oauth1/rfc5849/signature.py""]']",False,[],[],[],[],2012-04-19
749,commit_messages,,idan,oauthlib,calebbrown,2012-04-18 13:54:30,"Add support to OAuth1 for including body in the base string based on
encoding.

Section 3.4.1.3.1. (Parameter Sources) in rfc5849 indicates that
multipart bodies are excluded from the base string when generating the
signature.",ae386c2154f65054427f33419bf17b6feda563d5,,"api.github.com,git_clone","[u'[""tests/oauth1/rfc5849/test_server.py"", ""oauthlib/oauth1/rfc5849/signature.py""]']",False,[],[],[],[],2012-04-18
759,commit_messages,,idan,oauthlib,calebbrown,2012-04-19 03:07:05,"Add comment indicating why we need ""safe='~'"" in the call to urllib.quote.",b373b48ab363fea2195d00f4e2a91cc77315f2a0,,"api.github.com,git_clone","[u'[""oauthlib/oauth1/rfc5849/utils.py""]']",False,[],[],[],[],2012-04-19
